time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,node_ids
49.6,0.4000000059604645,107.0,24.404972076416016,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0058467700146138,-0.0155105022713541,-0.0070924870669841,0.120180143918842,0.0877218752447515,-9.790573210716248,1188161.0
49.7,0.4000000059604645,108.0,24.404972076416016,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0010752896778285,-0.0044069653376936,0.0136371199041605,0.113087252061814,0.0617496213968843,-9.817047064304353,1188161.0
49.9,0.3000000119209289,110.0,24.39495658874512,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0182521808892488,0.0004397427255753,0.0137878656387329,0.1218080361653119,0.0568303771410137,-9.781135219931604,1188161.0
50.0,0.3000000119209289,113.0,24.408727645874023,1.4233675003051758,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.014859146438539,0.0289736557751894,0.0023508789017796,0.1241572007350623,0.0835007794015109,-9.80800609946251,1188161.0
50.2,0.3000000119209289,118.0,24.40372085571289,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0134261064231395,0.0005581323639489,-0.0164905898272991,0.1257453319150954,0.0608711686078459,-9.783840726614,1188161.0
50.3,0.3000000119209289,118.0,24.404972076416016,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0217788778245449,0.0012626006500795,-0.002656243275851,0.107124654399231,0.0629077127063647,-9.787398757338524,1188161.0
50.5,0.3000000119209289,120.0,24.40246772766113,1.4790298938751218,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0030623362399637,0.0035061012022197,-0.0104943066835403,0.1501947058551013,0.0821169718634337,-9.797476433515548,1188161.0
50.6,0.3000000119209289,121.0,24.40622520446777,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0141324223950505,-0.0071196528151631,-0.0040973182767629,0.1448735020682215,0.0809172145742923,-9.811298081874847,1188161.0
50.8,0.3000000119209289,124.0,24.404972076416016,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0074898088350892,0.0331933237612247,-0.0083804698660969,0.1265309875644743,0.0783927066251635,-9.801981713175774,1188161.0
50.9,0.3000000119209289,126.0,24.40622520446777,1.4154157638549805,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0265671219676733,-0.0407540388405323,-0.011400886811316,0.1182191522419452,0.0406834875466302,-9.799459809064862,1188161.0
